frowning,fraʊnɪɳ
anamorphosis,ænʌmɔrfʌsʌs
collocate,kɑlʌkeɪt
information technology,ɪnfɜmeɪʃʌntɛknɑlʌdʒi
potassium bitartrate,pʌtæsiʌmbɪtɑrtreɪt
tricuspidate,traɪkʌspʌdeɪt
abrupt,ʌbrʌpt
descriptor,dɪskrɪptɜ
crystal gazing,krɪstʌlgeɪzɪɳ
postage meter,poʊstʌdʒʌmitɜ
power-driven,paʊɜdraɪvʌn
pug-faced,pʌgfeɪst
pharaoh of egypt,fɛroʊʌfidʒʌpt
speaking trumpet,spikɪɳtrʌmpʌt
naturalized,nætʃɜʌlaɪzd
effectuality,ɪfɛktʃuælʌti
genus spartina,dʒɛnjʌspɑrtinʌ
electric car,ɪlɛktrɪkʌr
human action,hjumʌnækʃʌn
health hazard,hɛlθhæzɜd
miniconju,mɪnikʌndʒu
ageratum houstonianum,ʌdʒɛrʌtʌmhaʊstoʊniʌnʌm
kinetic theory,kʌnɛtɪkθiɜi
sutura intermaxillaris,sutʃɜeɪntɜmæksʌlɛrɪs
stargazer,stɑrgeɪzɜ
in a flash,ɪnʌflæʃ
bracteal,bræktil
knottiness,nɑtinʌs
housefly,haʊsflaɪ
foreign direct investment,fɔrʌndɜɛktɪnvɛstmʌnt
livistona australis,lɪvɪstɑnɔstrʌlʌs
0,ɛn
1,ʌn
2,tu
test driver,tɛstdraɪvɜ
3,ri
4,ɔr
perspicacity,pɜspʌkæsɪti
5,ɪv
somberness,sɑmbɜnʌs
6,ks
snaffle,snæfʌl
8,ɪt
9,ɪn
hollowware,hɑloʊwɛr
wisteria floribunda,wɪstɪrjɑflɔrʌbʌndʌ
conflagrate,kɑnflʌgreɪt
slatternly,slætɜnli
osteochondroma,ɑstiʌkɑndroʊmʌ
flit,flɪt
areolate,ɜiʌleɪt
lease-lend,lisɪlɛnd
woodwardia virginica,wʊdwɔrdiʌvɜdʒɪnɪkʌ
nitrous oxide,nɪtrʌsɑksaɪd
empirical formula,ɛmpɪrɪkælfɔrmjʌlʌ
indian rhubarb,ɪndiænrubɑrb
copyhold,kɑpihoʊld
royal national eisteddfod,rɔɪʌlnæʃʌnæleɪʌstɛdfɑd
chlorofucin,klɔrʌfusʌn
resuscitation,rɪsʌsɪteɪʃʌn
stiffening,stɪfʌnɪɳ
flip,flɪp
staircase,stɛrkeɪs
soughingly,saʊɪɳli
operculated,ɑpɜkjʌleɪtɪd
a,ʌ
hyperidrosis,haɪpɜaɪdroʊsʌs
b,b
james watt,dʒeɪmzwɑt
tetragrammaton,tɛtrʌgrʌmætʌn
c,k
garland,gɑrlʌnd
larrea tridentata,læriʌtrʌdɛntɑtʌ
d,d
e,i
papal bull,pɑpɑlbʌl
f,f
micropyle,maɪkroʊpʌli
g,g
h,h
griminess,grɪminʌs
i,ɪ
metformin,mɛtfɔrmɪn
vegetable patch,vɛdʒtʌbʌlpætʃ
j,d
axenic,æksinɪk
k,k
l,l
congolese,kɑngʌliz
electric furnace,ɪlɛktrɪkfɜnʌs
m,m
indigestibleness,ɪndaɪdʒɛstʌbʌlnʌs
n,n
o,o
genus calystegia,dʒɛnjʌskʌlɪstidʒiʌ
p,p
q,k
university student,junʌvɜsʌtistudʌnt
evangelista torricelli,ɪvændʒʌlɪstɑtɔritʃɛli
r,r
s,s
t,t
dusicyon cancrivorus,dusɪsioʊnkɑnkrɪvɔrʌs
u,j
genus panonychus,dʒɛnjʌspænʌnɪtʃʌs
v,v
w,w
thor hyerdahl,θɔraɪɜdɑl
x,z
ministerially,mɪnɪstiriʌli
y,j
z,z
adrian,eɪdriʌn
unemployed person,ʌnɪmplɔɪdpɜsʌn
typing paper,taɪpɪɳpeɪpɜ
put up,pjutʌp
bowdlerization,boʊdʌlɜʌzeɪʃʌn
34th,rifɔθ
cup final,kʌpfaɪnʌl
menippe,mɛnɪp
marsh andromeda,mɑrʃʌndrɑmʌdʌ
breach of warranty,britʃvwɔrʌnti
genus sertularia,dʒɛnʌsɜtʌlɛriʌ
allochronic,ælʌkrɑnɪk
claptrap,klæptræp
defensive measure,dɪfɛnsɪvmɛʒɜ
wainscoting,weɪnskʌtɪɳ
louis burt mayer,luɪsbɜtmeɪɜ
irrelevancy,ɪrɛlʌvʌnsi
motor memory,moʊtɜmɛmɜi
whole gale,hoʊlʌgeɪl
misleadingly,mɪslidɪɳli
phone jack,fʌnidʒæk
pillaged,pɪlɪdʒd
basketball equipment,bæskʌtbɔlʌkwɪpmʌnt
oligodendrocyte,oʊlɪgʌdɛndroʊsaɪt
irrelevance,ɪrɛlʌvʌns
spruce up,sprusʌp
wigner,waɪgnɜ
dark lantern,dɑrklæntɜn
milkwagon,mɪlkwægʌn
jounce,dʒaʊns
lonicera caprifolium,lɑnisɛrʌkæprʌfoʊliʌm
categorically,kætʌgɑrɪkli
oast house,oʊeɪsthaʊs
dumpy,dʌmpi
thamnophis sirtalis,θæmnɑfɪsɪrtɑlɪs
wiliness,wɪlinʌs
flnc,flɳk
holothuroidea,hɑlʌθjʊrɔɪdiʌ
raring,rɛrɪɳ
seedman,sidmʌn
creme de menthe,krɪmidmɛnð
pointing out,pɔɪntɪɳaʊt
forrader,fɔreɪdɜ
adrift,ʌdrɪft
adactylism,ʌdæktʌlɪzʌm
frederic william maitland,frɛdɜikwɪljʌmmeɪtlʌnd
european barberry,jʊrʌpiʌnbɑrbɛri
gentiana pneumonanthe,dʒɛnʃʌnæpnumoʊnɑnθeɪ
mid-twenties,mɪdtwɛntiz
quartern,kwɔrtɜn
second-year,sɛkʌndjɪr
quarters,kwɔrtɜz
surface soil,sɜfʌssɔɪl
perilously,pɛrʌlʌsli
better,bɛtɜ
return key,rɪtɜnki
temporal property,tɛmpɜælprɑpɜti
seanad eireann,ʃɑnʌdɪriæn
inventory-clearance sale,ɪnvʌntɔriklɪrʌnsseɪl
not by a blame sight,nɑtbiʌbleɪmsaɪt
glamourisation,glæmɜɪzeɪʃʌn
breadth,brɛdθ
fore-wing,fɔrwɪɳ
reflective power,rɪflɛktɪvpaʊɜ
unconventionally,ʌnkʌnvɛnʃʌnʌli
tent-caterpillar moth,tɛntkætʌpɪlɜmʌθ
maria magdalene von losch,mɑriɑmɑgdɑleɪnʌvʌnlɔʃ
psyllidae,sɪlɪdeɪ
automatise,ɔtɑmʌtaɪz
dummy,dʌmi
groundbreaking ceremony,graʊndbreɪkɪɳsɛrʌmoʊni
smoke-cured,smoʊkkjɜd
automatism,ɔtɑmʌtɪzʌm
flashing,flæʃɪɳ
flop,flɑp
regalecus glesne,rɪgeɪlʌkjusgleɪn
walk over,wɔkoʊvɜ
daisylike,deɪzilaɪk
flow,floʊ
hepatocellular carcinoma,hɛpʌtoʊsɛljʌlɜkɑrsʌnoʊmʌ
manta birostris,mæntæbɪrɑstrʌs
flavivirus,fleɪvivaɪrʌs
gallus gallus,gælʌsgælʌs
centrocercus urophasianus,sɛntroʊsɜkʌsɜʌfeɪʒʌnʌs
flashily,flæʃɪli
samizdat,sʌmɪzdɑt
misspell,mɪsspɛl
timid,tɪmɪd
floc,flɑk
mendeleyev,mɛndʌljɛv
genus tribolium,dʒinʌstraɪboʊliʌm
floe,floʊ
pumice stone,pʌmʌsstoʊn
highfaluting,haɪfʌlutɪɳ
flog,flɑg
carapidae,kɛrʌpʌdaɪ
h.p.,hp
granularity,grænjʌlɛrʌti
ballistic fingerprinting,bʌlɪstɪkfɪɳgɜprɪntɪɳ
cordaitaceae,kɔrdeɪteɪʃʌ
genus clupea,dʒɛnjʌsklupiʌ
pellet,pɛlʌt
poetically,poʊɛtɪkli
oversuspicious,oʊvɜsʌspɪʃʌs
dumps,dʌmps
viscaceae,viskɑseɪɑ
mineral oil,mɪnɜʌlɔɪl
pyromorphite,pɪrʌmɔrfaɪt
assuan,ʌswɑn
war admiral,wɔrædmaɪrʌl
come out of the closet,kʌmaʊtɔfθklɔsɛt
put on,pjutʌn
borsht,bɔrʃt
chilli pepper,tʃɪlʌpɛpɜ
pied-a-terre,pidɑtɛr
fool's cap,fulzkæp
neanderthal man,niændɜθɔlmʌn
hastings,heɪstɪɳz
one-quarter,wʌnɛkwɔrtɜ
housemaid,haʊsmeɪd
date of reference,deɪtiɔfrɛfɜʌns
hashimoto's disease,hɑʃimoʊtoʊzdɪziz
linoleic acid,lɪnoʊlʌkæsʌd
aforethought,ʌfɔrθɑt
araguaya,ɛrʌgwaɪʌ
myrtus communis,mɜtʌskʌmjunʌs
favorable position,feɪvɜʌblɛpʌzɪʃʌn
water starwort,wɔtɜstɑrwɜt
mammillaria,mæmʌlɑriʌ
slobberer,slɑbɜɜ
fire alarm,faɪɜɑlɑrm
misspend,mɪsspɛnd
hotplate,hɑtpleɪt
phalaenopsis,fʌlænɑpsɪs
prosecuting attorney,prɑsɪkjutɪɳʌtɔrni
eurasia,jʊreɪʒʌ
smegma,smɛgmʌ
chigetai,ʃɪgeɪtɑi
hemolytic anemia,himʌlɪtɪkʌnimiʌ
marquand,mɑrkwʌnd
tank farming,tæɳkfɑrmɪɳ
william wilkie collins,wɪljʌmwɪlkikɔlɪnz
bacteria family,bæktɪriʌfæmʌli
payne's grey,peɪnzgri
bridgehead,brɪdʒhɛd
docudrama,doʊkʌdræmʌ
sub judice,sʌbdʒʌdɪs
automation,ɔtʌmeɪʃʌn
exhortative,ɪgzɔrtʌtɪv
astrophysical,æstroʊfɪzɪkʌl
disk harrow,dɪskhæroʊ
leicester,lɛstɜ
tax revenue,tæksreɪveɪnwɛ
plug away,plʌgʌweɪ
longitude,lɑndʒʌtud
martes americana,mɑrtɛsʌmɛrʌkænʌ
timed,taɪmd
baltic,bɔltɪk
palgrave,pælgreɪv
devising,dɪvaɪzɪɳ
musteline mammal,mʌstɪlɪnɪmʌmɑl
musical arrangement,mjuzɪkʌlɜeɪndʒmʌnt
uterine tube,jutɜʌnɛtjub
sanitization,sænʌtʌzeɪʃʌn
